fault_id,vehicle_type,system,symptom,fault_name,obd_code,confidence,severity,required_parts,estimated_time_hours,estimated_cost_range,fix_procedure,common_vehicles
F0036,SUV,Engine,rhythmic ticking noise that increases with RPM,Hydraulic Lifter Noise,,0.75,Medium,P-016,3,3000-6000,Check oil level and condition. If oil OK remove valve cover and inspect lifters. Replace collapsed or noisy lifters. Use correct grade oil.,"Hyundai Creta,Tata Harrier,Honda City,Kia Seltos"
F0037,Car,Engine,serpentine belt squealing on startup,Serpentine Belt Worn,,0.8,Low,P-017,1,800-1500,Inspect belt for cracks glazing and wear. Check belt tensioner. Replace serpentine belt. Replace tensioner pulley if worn.,"Maruti Swift,Hyundai i20,Honda Amaze,Toyota Glanza"
F0038,Car,Engine,loud squealing noise from engine bay when starting car,Serpentine Belt Worn,,0.8,Low,P-017,1,800-1500,Inspect belt for cracks glazing and wear. Check belt tensioner. Replace serpentine belt. Replace tensioner pulley if worn.,"Maruti Swift,Hyundai i20,Honda Amaze,Toyota Glanza"
F0039,Car,Engine,belt squealing that gets worse in rain or cold weather,Serpentine Belt Worn,,0.8,Low,P-017,1,800-1500,Inspect belt for cracks glazing and wear. Check belt tensioner. Replace serpentine belt. Replace tensioner pulley if worn.,"Maruti Swift,Hyundai i20,Honda Amaze,Toyota Glanza"
F0040,Car,Engine,engine losing power going uphill,Clogged Air Filter,P0101,0.72,Low,P-018,0.5,300-800,Remove air filter element. Inspect for dirt and debris. Replace with new air filter. Check air intake duct for obstructions.,"Maruti Alto,Hyundai i10,Tata Tiago,Maruti WagonR"
F0041,Car,Engine,car struggling to accelerate and feels sluggish,Clogged Air Filter,P0101,0.72,Low,P-018,0.5,300-800,Remove air filter element. Inspect for dirt and debris. Replace with new air filter. Check air intake duct for obstructions.,"Maruti Alto,Hyundai i10,Tata Tiago,Maruti WagonR"
F0042,Car,Engine,significant loss of power during acceleration,Clogged Air Filter,P0101,0.72,Low,P-018,0.5,300-800,Remove air filter element. Inspect for dirt and debris. Replace with new air filter. Check air intake duct for obstructions.,"Maruti Alto,Hyundai i10,Tata Tiago,Maruti WagonR"
F0043,Car,Engine,engine vibrating excessively at idle,Engine Mount Failure,,0.81,Medium,"P-019,P-020",3,3000-6000,Inspect all engine mounts for cracks and deterioration. Replace failed mounts. Check transmission mount also. Torque all bolts correctly.,"Maruti Swift,Hyundai Creta,Honda City,Tata Nexon"
F0044,Car,Engine,strong vibration felt through steering and body at idle,Engine Mount Failure,,0.81,Medium,"P-019,P-020",3,3000-6000,Inspect all engine mounts for cracks and deterioration. Replace failed mounts. Check transmission mount also. Torque all bolts correctly.,"Maruti Swift,Hyundai Creta,Honda City,Tata Nexon"
F0045,Car,Engine,engine shaking badly when stationary,Engine Mount Failure,,0.81,Medium,"P-019,P-020",3,3000-6000,Inspect all engine mounts for cracks and deterioration. Replace failed mounts. Check transmission mount also. Torque all bolts correctly.,"Maruti Swift,Hyundai Creta,Honda City,Tata Nexon"
F0046,Car,Engine,engine stalling randomly while driving,Crankshaft Position Sensor Failure,"P0335,P0336",0.84,High,P-021,1.5,2000-3500,Read fault codes. Locate and inspect crankshaft position sensor. Check wiring connector. Replace sensor. Clear codes and test drive.,"Maruti Baleno,Hyundai Verna,Tata Altroz,Kia Sonet"
F0047,Car,Engine,car suddenly dies while driving then restarts,Crankshaft Position Sensor Failure,"P0335,P0336",0.84,High,P-021,1.5,2000-3500,Read fault codes. Locate and inspect crankshaft position sensor. Check wiring connector. Replace sensor. Clear codes and test drive.,"Maruti Baleno,Hyundai Verna,Tata Altroz,Kia Sonet"
F0048,Car,Engine,intermittent engine shutdown while driving at low speed,Crankshaft Position Sensor Failure,"P0335,P0336",0.84,High,P-021,1.5,2000-3500,Read fault codes. Locate and inspect crankshaft position sensor. Check wiring connector. Replace sensor. Clear codes and test drive.,"Maruti Baleno,Hyundai Verna,Tata Altroz,Kia Sonet"
F0049,Car,Engine,poor fuel economy and black smoke from exhaust,Fuel Injector Leaking,"P0201,P0202",0.8,Medium,P-022,3,4000-8000,Perform injector leak test. Identify leaking injectors. Remove and clean or replace faulty injectors. Replace O-rings. Test fuel trim values.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0050,Car,Engine,car consuming too much fuel with black exhaust,Fuel Injector Leaking,"P0201,P0202",0.8,Medium,P-022,3,4000-8000,Perform injector leak test. Identify leaking injectors. Remove and clean or replace faulty injectors. Replace O-rings. Test fuel trim values.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0051,Car,Engine,fuel consumption increased significantly with black smoke,Fuel Injector Leaking,"P0201,P0202",0.8,Medium,P-022,3,4000-8000,Perform injector leak test. Identify leaking injectors. Remove and clean or replace faulty injectors. Replace O-rings. Test fuel trim values.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0052,SUV,Engine,turbo not boosting loss of power,Turbocharger Failure,P0299,0.86,Critical,P-023,6,15000-35000,Check boost pressure with gauge. Inspect turbo for shaft play. Check wastegate operation. Replace turbocharger assembly. Replace oil feed lines.,"Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra XUV700,Kia Seltos Diesel"
F0053,SUV,Engine,turbo whistle changed and car feels slow,Turbocharger Failure,P0299,0.86,Critical,P-023,6,15000-35000,Check boost pressure with gauge. Inspect turbo for shaft play. Check wastegate operation. Replace turbocharger assembly. Replace oil feed lines.,"Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra XUV700,Kia Seltos Diesel"
F0054,SUV,Engine,turbo lag increased significantly with smoke from exhaust,Turbocharger Failure,P0299,0.86,Critical,P-023,6,15000-35000,Check boost pressure with gauge. Inspect turbo for shaft play. Check wastegate operation. Replace turbocharger assembly. Replace oil feed lines.,"Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra XUV700,Kia Seltos Diesel"
F0055,Car,Engine,engine surge and fluctuating RPM at idle,Idle Air Control Valve Fault,"P0505,P0506",0.77,Medium,P-024,1.5,2000-3500,Remove and clean IAC valve with throttle body cleaner. If cleaning fails replace IAC valve. Clean throttle body also. Reset idle parameters.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Indica"
F0056,Car,Engine,RPM going up and down on its own at idle,Idle Air Control Valve Fault,"P0505,P0506",0.77,Medium,P-024,1.5,2000-3500,Remove and clean IAC valve with throttle body cleaner. If cleaning fails replace IAC valve. Clean throttle body also. Reset idle parameters.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Indica"
F0057,Car,Engine,engine hunting at idle speed RPM unstable,Idle Air Control Valve Fault,"P0505,P0506",0.77,Medium,P-024,1.5,2000-3500,Remove and clean IAC valve with throttle body cleaner. If cleaning fails replace IAC valve. Clean throttle body also. Reset idle parameters.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Indica"
F0058,SUV,Engine,engine oil pressure warning light on,Oil Pump Wear,"P0520,P0521",0.85,Critical,P-025,5,5000-10000,Check oil level and condition. Test oil pressure with mechanical gauge. If low pressure replace oil pump. Check oil pickup screen for blockage.,"Maruti Swift,Hyundai Verna,Honda City,Tata Harrier"
F0059,SUV,Engine,low oil pressure warning on dashboard,Oil Pump Wear,"P0520,P0521",0.85,Critical,P-025,5,5000-10000,Check oil level and condition. Test oil pressure with mechanical gauge. If low pressure replace oil pump. Check oil pickup screen for blockage.,"Maruti Swift,Hyundai Verna,Honda City,Tata Harrier"
F0060,SUV,Engine,oil pressure gauge showing low or warning light flickering,Oil Pump Wear,"P0520,P0521",0.85,Critical,P-025,5,5000-10000,Check oil level and condition. Test oil pressure with mechanical gauge. If low pressure replace oil pump. Check oil pickup screen for blockage.,"Maruti Swift,Hyundai Verna,Honda City,Tata Harrier"
F0061,Car,Engine,diesel engine hard to start in cold weather,Glow Plug Failure,"P0380,P0381",0.83,Medium,P-026,2,2000-4000,Test each glow plug with multimeter. Replace failed glow plugs. Check glow plug relay and controller. Test cold start performance.,"Maruti Swift Diesel,Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra Bolero"
F0062,Car,Engine,diesel car cranking long time before starting in morning,Glow Plug Failure,"P0380,P0381",0.83,Medium,P-026,2,2000-4000,Test each glow plug with multimeter. Replace failed glow plugs. Check glow plug relay and controller. Test cold start performance.,"Maruti Swift Diesel,Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra Bolero"
F0063,Car,Engine,glow plug warning light staying on diesel engine slow start,Glow Plug Failure,"P0380,P0381",0.83,Medium,P-026,2,2000-4000,Test each glow plug with multimeter. Replace failed glow plugs. Check glow plug relay and controller. Test cold start performance.,"Maruti Swift Diesel,Hyundai Creta Diesel,Tata Nexon Diesel,Mahindra Bolero"
F0064,Car,Engine,engine making whining noise that increases with speed,Alternator Bearing Failure,,0.79,Medium,P-027,2,3500-6000,Test alternator output voltage. Listen for bearing noise. Remove alternator and replace bearing or full alternator assembly. Check belt condition.,"Maruti Dzire,Hyundai i20,Honda Amaze,Tata Tigor"
F0065,Car,Engine,high pitched whine from engine proportional to RPM,Alternator Bearing Failure,,0.79,Medium,P-027,2,3500-6000,Test alternator output voltage. Listen for bearing noise. Remove alternator and replace bearing or full alternator assembly. Check belt condition.,"Maruti Dzire,Hyundai i20,Honda Amaze,Tata Tigor"
F0066,Car,Engine,whining or whistling noise from alternator area,Alternator Bearing Failure,,0.79,Medium,P-027,2,3500-6000,Test alternator output voltage. Listen for bearing noise. Remove alternator and replace bearing or full alternator assembly. Check belt condition.,"Maruti Dzire,Hyundai i20,Honda Amaze,Tata Tigor"
F0067,Car,Engine,coolant leaking from water pump area,Water Pump Failure,,0.84,High,"P-028,P-029",3,3000-5500,Inspect water pump for leak and bearing play. Drain coolant. Replace water pump and gasket. Replace timing belt if driven by it. Refill system.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0068,Car,Engine,puddle of coolant under car near engine front,Water Pump Failure,,0.84,High,"P-028,P-029",3,3000-5500,Inspect water pump for leak and bearing play. Drain coolant. Replace water pump and gasket. Replace timing belt if driven by it. Refill system.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0069,Car,Engine,water pump making grinding noise with coolant leak,Water Pump Failure,,0.84,High,"P-028,P-029",3,3000-5500,Inspect water pump for leak and bearing play. Drain coolant. Replace water pump and gasket. Replace timing belt if driven by it. Refill system.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0070,SUV,Engine,EGR valve causing rough idle and poor performance,EGR Valve Stuck Open,"P0401,P0402",0.78,Medium,P-030,2,3000-5000,Remove EGR valve. Clean carbon deposits. If stuck replace EGR valve. Clean intake manifold ports. Clear codes and test drive.,"Hyundai Creta Diesel,Tata Harrier,Mahindra XUV700,Toyota Fortuner"
F0071,SUV,Engine,engine light on with EGR flow codes,EGR Valve Stuck Open,"P0401,P0402",0.78,Medium,P-030,2,3000-5000,Remove EGR valve. Clean carbon deposits. If stuck replace EGR valve. Clean intake manifold ports. Clear codes and test drive.,"Hyundai Creta Diesel,Tata Harrier,Mahindra XUV700,Toyota Fortuner"
F0072,SUV,Engine,reduced power and increased emissions with CEL,EGR Valve Stuck Open,"P0401,P0402",0.78,Medium,P-030,2,3000-5000,Remove EGR valve. Clean carbon deposits. If stuck replace EGR valve. Clean intake manifold ports. Clear codes and test drive.,"Hyundai Creta Diesel,Tata Harrier,Mahindra XUV700,Toyota Fortuner"
F0073,Car,Engine,engine backfiring through intake,Intake Valve Timing Issue,"P0011,P0012",0.8,High,P-031,4,4000-7000,Check variable valve timing solenoid. Inspect timing chain alignment. Replace VVT solenoid if faulty. Check oil passages for blockage.,"Hyundai i20,Honda City,Kia Seltos,Tata Altroz"
F0074,Car,Engine,popping sound from engine intake manifold,Intake Valve Timing Issue,"P0011,P0012",0.8,High,P-031,4,4000-7000,Check variable valve timing solenoid. Inspect timing chain alignment. Replace VVT solenoid if faulty. Check oil passages for blockage.,"Hyundai i20,Honda City,Kia Seltos,Tata Altroz"
F0075,Car,Engine,backfire and loss of power during acceleration,Intake Valve Timing Issue,"P0011,P0012",0.8,High,P-031,4,4000-7000,Check variable valve timing solenoid. Inspect timing chain alignment. Replace VVT solenoid if faulty. Check oil passages for blockage.,"Hyundai i20,Honda City,Kia Seltos,Tata Altroz"
F0076,Car,Transmission,clutch slipping when accelerating in high gear,Clutch Plate Worn,,0.87,High,"P-032,P-033,P-034",4,5000-9000,Remove gearbox. Inspect clutch disc friction material. Replace clutch kit including disc plate pressure plate and release bearing. Resurface flywheel.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0077,Car,Transmission,RPM rising but car not accelerating proportionally,Clutch Plate Worn,,0.87,High,"P-032,P-033,P-034",4,5000-9000,Remove gearbox. Inspect clutch disc friction material. Replace clutch kit including disc plate pressure plate and release bearing. Resurface flywheel.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0078,Car,Transmission,clutch pedal engagement point very high and slipping,Clutch Plate Worn,,0.87,High,"P-032,P-033,P-034",4,5000-9000,Remove gearbox. Inspect clutch disc friction material. Replace clutch kit including disc plate pressure plate and release bearing. Resurface flywheel.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0079,Car,Transmission,difficulty shifting gears gear lever feels stiff,Clutch Cable Stretched or Broken,,0.8,Medium,P-035,1,800-1500,Inspect clutch cable for fraying and stretch. Adjust cable free play. Replace cable if worn or broken. Lubricate pivot points.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Tiago"
F0080,Car,Transmission,hard to engage gears especially first and reverse,Clutch Cable Stretched or Broken,,0.8,Medium,P-035,1,800-1500,Inspect clutch cable for fraying and stretch. Adjust cable free play. Replace cable if worn or broken. Lubricate pivot points.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Tiago"
F0081,Car,Transmission,gear shifting requires excessive force,Clutch Cable Stretched or Broken,,0.8,Medium,P-035,1,800-1500,Inspect clutch cable for fraying and stretch. Adjust cable free play. Replace cable if worn or broken. Lubricate pivot points.,"Maruti Alto,Maruti WagonR,Hyundai i10,Tata Tiago"
F0082,SUV,Transmission,grinding noise when shifting gears,Synchronizer Ring Wear,,0.82,High,P-036,8,8000-15000,Remove gearbox and disassemble. Inspect synchronizer rings and hubs. Replace worn synchronizers. Reassemble and fill with fresh gear oil.,"Maruti Swift,Hyundai Verna,Honda City,Mahindra Thar"
F0083,SUV,Transmission,gear crunching sound when changing from second to third,Synchronizer Ring Wear,,0.82,High,P-036,8,8000-15000,Remove gearbox and disassemble. Inspect synchronizer rings and hubs. Replace worn synchronizers. Reassemble and fill with fresh gear oil.,"Maruti Swift,Hyundai Verna,Honda City,Mahindra Thar"
F0084,SUV,Transmission,metallic grinding when engaging gear,Synchronizer Ring Wear,,0.82,High,P-036,8,8000-15000,Remove gearbox and disassemble. Inspect synchronizer rings and hubs. Replace worn synchronizers. Reassemble and fill with fresh gear oil.,"Maruti Swift,Hyundai Verna,Honda City,Mahindra Thar"
F0085,SUV,Transmission,gear popping out while driving,Worn Gear Fork or Detent,,0.79,High,P-037,8,7000-12000,Remove gearbox. Inspect gear forks for wear. Check detent springs and balls. Replace worn components. Check gear engagement dogs.,"Maruti Ertiga,Hyundai Creta,Tata Safari,Mahindra Scorpio"
F0086,SUV,Transmission,third gear keeps disengaging on its own,Worn Gear Fork or Detent,,0.79,High,P-037,8,7000-12000,Remove gearbox. Inspect gear forks for wear. Check detent springs and balls. Replace worn components. Check gear engagement dogs.,"Maruti Ertiga,Hyundai Creta,Tata Safari,Mahindra Scorpio"
F0087,SUV,Transmission,gear slips out of engagement under load,Worn Gear Fork or Detent,,0.79,High,P-037,8,7000-12000,Remove gearbox. Inspect gear forks for wear. Check detent springs and balls. Replace worn components. Check gear engagement dogs.,"Maruti Ertiga,Hyundai Creta,Tata Safari,Mahindra Scorpio"
F0088,Car,Transmission,clutch judder when releasing clutch pedal,Flywheel Surface Damaged,,0.81,Medium,P-038,5,4000-8000,Remove gearbox and clutch assembly. Inspect flywheel surface for hot spots and scoring. Resurface or replace flywheel. Install new clutch kit.,"Maruti Swift,Hyundai i20,Honda Amaze,Tata Altroz"
F0089,Car,Transmission,vibration when engaging clutch from standstill,Flywheel Surface Damaged,,0.81,Medium,P-038,5,4000-8000,Remove gearbox and clutch assembly. Inspect flywheel surface for hot spots and scoring. Resurface or replace flywheel. Install new clutch kit.,"Maruti Swift,Hyundai i20,Honda Amaze,Tata Altroz"
F0090,Car,Transmission,shaking when starting from stationary in first gear,Flywheel Surface Damaged,,0.81,Medium,P-038,5,4000-8000,Remove gearbox and clutch assembly. Inspect flywheel surface for hot spots and scoring. Resurface or replace flywheel. Install new clutch kit.,"Maruti Swift,Hyundai i20,Honda Amaze,Tata Altroz"
F0091,Car,Transmission,transmission oil leaking from gearbox,Gearbox Oil Seal Leak,,0.8,Medium,P-039,3,2000-4000,Identify leak location. Replace output shaft seal or input shaft seal as needed. Top up gear oil to correct level. Clean gearbox exterior.,"Maruti Dzire,Hyundai Verna,Honda City,Toyota Glanza"
